,Nationality,Title,Artist,BeginDate,EndDate,Gender,Date,Department
0,American,Dress MacLeod from Tartan Sets,Sarah Charlesworth,1947.0,2013.0,Female,1986,Prints & Illustrated Books
1,Spanish,"Duplicate of plate from folio 11 verso (supplementary suite, plate 4) from ARDICIA",Pablo Palazuelo,1916.0,2007.0,Male,1978,Prints & Illustrated Books
2,French,Tailpiece (page 55) from SAGESSE,Maurice Denis,1870.0,1943.0,Male,1900,Prints & Illustrated Books
3,French,"Headpiece (page 129) from LIVRET DE FOLASTRIES, À JANOT PARISIEN",Aristide Maillol,1861.0,1944.0,Male,1934,Prints & Illustrated Books
4,French,97 rue du Bac,Eugène Atget,1857.0,1927.0,Male,1903,Photography
5,American,Pictorial ornament (folio 11) from WOODCUTS,Antonio Frasconi,1919.0,2013.0,Male,1957,Prints & Illustrated Books
6,French,Rue de l'Hôtel-de-Ville,Eugène Atget,1857.0,1927.0,Male,1924,Photography
7,American,Los Angeles Airport,Garry Winogrand,1928.0,1984.0,Male,1980,Photography
8,South African,Why Defy from Disasters of Peace,Diane Victor,1964.0,,Female,2001,Prints & Illustrated Books
9,Canadian,STILL WATER AND FISH,David Brown Milne,1882.0,1953.0,Male,1941,Prints & Illustrated Books
10,French,In-text plate (folio 11) from LA MÉTROMANIE,Jean Dubuffet,1901.0,1985.0,Male,1950,Prints & Illustrated Books
11,American,Black Bathroom,Jim Dine,1935.0,,Male,1963,Prints & Illustrated Books
12,Czech,In-text plate (page 108) from LYSISTRATA,František Kupka,1871.0,1957.0,Male,1910,Prints & Illustrated Books
13,American,Transcendence. Designs for the Ballet,Franklin Chenault Watkins,1894.0,1972.0,Male,1934,Drawings
14,American,Untitled,Christopher Wool,1955.0,,Male,1997,Prints & Illustrated Books
15,American,Isadora Duncan,Abraham Walkowitz,1878.0,1965.0,Male,1932,Drawings
16,Belgian,L'Avenir de la Propriété,Pierre Alechinsky,1927.0,,Male,1972,Prints & Illustrated Books
17,American,Arundel Castle from Black Series I,Frank Stella,1936.0,,Male,1967,Prints & Illustrated Books
18,American,"Block fragments from the Samuel Freeman House, Los Angeles, CA",Frank Lloyd Wright,1867.0,1959.0,Male,1924,Architecture & Design
19,Spanish,Plate (folio 35) from ACORDE,Vicente Rojo,1932.0,,Male,1979,Prints & Illustrated Books
20,American,"Wolf House, Gubin, Poland (Third floor plan)",Ludwig Mies van der Rohe,1886.0,1969.0,Male,1926,Architecture & Design
21,Russian,"SA. Sovremennaia Arkhitektura (CA. Contemporary Architecture), no. 5",Varvara Stepanova,1894.0,1958.0,Female,1929,Prints & Illustrated Books
22,American,Untitled,Richard Serra,1938.0,,Male,1972,Drawings
23,French,Research on the Origin,Robert Filliou,1926.0,1987.0,Male,1974,Prints & Illustrated Books
24,French,Plate (folio 17) from KAFKA,Roger Chancel,1898.0,1976.0,Male,1957,Prints & Illustrated Books
25,French,Tailpiece (page 35) from SAINTE MONIQUE,Pierre Bonnard,1867.0,1947.0,Male,1925,Prints & Illustrated Books
26,British,Bowl,Jacqueline Poncelet,1947.0,,Female,1974,Architecture & Design
27,French,Tailpiece (folio 42 verso) from LES AMOURS,Émile Bernard,1868.0,1941.0,Male,1915,Prints & Illustrated Books
28,French,Tuileries (vase),Eugène Atget,1857.0,1927.0,Male,1912,Photography
29,German,Plate 23 (folio 25) from MALELADE,Georg Baselitz,1938.0,,Male,1989,Prints & Illustrated Books
30,Belgian,"Duplicate of plate from folio 104 (supplementary suite, plate 95) from LA VILLE",Frans Masereel,1889.0,1972.0,Male,1925,Prints & Illustrated Books
31,,Untitled,Unknown,,,Gender Unknown,1925,Photography
32,American,"Plate (folio 28) from Six Geometric Figures and All Their Combinations, Volume I",Sol LeWitt,1928.0,2007.0,Male,1980,Prints & Illustrated Books
33,American,Chamber Music,James Tenney,1934.0,2006.0,Male,1964,Prints & Illustrated Books
34,American,Plate (following folio V) from NOTES,Claes Oldenburg,1929.0,,Male,1968,Prints & Illustrated Books
35,Swiss,Chocolate Object (Schokolade-Objekt),Dieter Roth,1930.0,1998.0,Male,1969,Prints & Illustrated Books
36,,Mandry Ven'iamyna Tret'oho,Moisei Fradkin,,,Male,1934,Prints & Illustrated Books
37,American,Dust jacket front (duplicate of folder front) from 2 POEMAS,Antonio Frasconi,1919.0,2013.0,Male,1953,Prints & Illustrated Books
38,American,Fun City from Fun City,Richard Lindner,1901.0,1978.0,Male,1971,Prints & Illustrated Books
39,Polish,Angels from Witebsk,Wojciech Prazmowski,1949.0,,Male,1988,Photography
40,British,Tailpiece (page 62) from FABLES,Thomas Bewick,1753.0,1828.0,Male,1818,Prints & Illustrated Books
41,American,Untitled,Spencer Sweeney,1973.0,,Male,2002,Drawings
42,American,Variety,Batiste Madalena,1902.0,1988.0,Male,1926,Film
43,Belgian,Stars and Disasters (Astres et Désastres),Pierre Alechinsky,1927.0,,Male,1969,Prints & Illustrated Books
44,American,"U.S. Embassy Building, Tokyo Project (Aerial perspective)",Frank Lloyd Wright,1867.0,1959.0,Male,1914,Architecture & Design
45,Japanese,"Tuesday, Dec. 18, 1979",On Kawara,1933.0,,Male,1979,Painting & Sculpture
46,American,"Bank by Andy Warhol. Gaudy Savings by RCA Color Scanner. Pretty as a Pigture, Huh?",Andy Warhol,1928.0,1987.0,Male,1968,Architecture & Design
47,American,"Pittsburgh, Pennsylvania",Lee Friedlander,1934.0,,Male,1979,Photography
48,Spanish,Double page plate (between pages 96 and 97) from UBU ROI,Joan Miró,1893.0,1983.0,Male,1966,Prints & Illustrated Books
49,American,"Unity Temple, Oak Park, IL",Frank Lloyd Wright,1867.0,1959.0,Male,1904,Architecture & Design
50,French,PORTRAITS DE CHOPIN,Marc Chagall,1887.0,1985.0,Male,1949,Prints & Illustrated Books
51,American,The Razorback Bunch (Etching III),Robert Rauschenberg,1925.0,2008.0,Male,1981,Prints & Illustrated Books
52,American,Identity Transfer from Program One: Aspen Projects,Dennis Oppenheim,1938.0,2011.0,Male,1970,Media and Performance Art
53,American,Lipstick (Ascending) on Caterpillar Track,Claes Oldenburg,1929.0,,Male,1969,Prints & Illustrated Books
54,American,"""1 PERSON/1 PLACE"" from the portfolio DETAILS FROM THE EXCAVATION OF WOOSTER STREET",Richard Nonas,1936.0,,Male,1972,Prints & Illustrated Books
55,French,Bagatelle,Eugène Atget,1857.0,1927.0,Male,1924,Photography
56,American,The Barbie Doll Drawings #27,Adrian Piper,1948.0,,Female,1967,Drawings
57,American,"Gericke House, project, Berlin-Wannsee, Germany, Landscape model",Ludwig Mies van der Rohe,1886.0,1969.0,Male,1932,Architecture & Design
58,French,Plate (page 209) from LES PETITES FLEURS,Émile Bernard,1868.0,1941.0,Male,1928,Prints & Illustrated Books
59,American,"Mechanical for Ticket for Fluxorchestra at Carnegie Hall, Carnegie Recital Hall, New York, September 25, 1965",George Maciunas,1931.0,1978.0,Male,1965,Prints & Illustrated Books
60,American,Untitled,Louise Bourgeois,1911.0,2010.0,Female,2003,Prints & Illustrated Books
61,Portuguese,"Banco Pinto & Sotto Mayor, Oliveira de Azeméis, Portugal, Plan sketch",Álvaro Siza,1933.0,,Male,1972,Architecture & Design
62,American,Overcast Dusk-Glassy Lake from Loon Lake: Eleven Drawings,Ellen Phelan,1943.0,,Female,1983,Drawings
63,American,"Golf Club Project, Krefeld, Germany",Ludwig Mies van der Rohe,1886.0,1969.0,Male,1930,Architecture & Design
64,Austrian,Stamp Box,Josef Hoffmann,1870.0,1956.0,Male,1946,Architecture & Design
65,Swiss,"Library, Villeurbanne, France, Interior rear elevation",Mario Botta,1943.0,,Male,1984,Architecture & Design
66,German,Studio II 1982 from Architecture Models 1980-2006 (Architektur Modelle 1980-2006),Thomas Schütte,1954.0,,Male,2006,Prints & Illustrated Books
67,American,"Looking out from Black Hawks Cave, Wisconsin Dells",Henry Hamilton Bennett,1843.0,1908.0,Male,1885,Photography
68,American,"Apollon Musagete, design for Scenery",Pavel Tchelitchew,1898.0,1957.0,Male,1942,Drawings
69,French,LA RUE DE LA PARCHEMINERIE APRÈS DÉMOLITION,Eugène Atget,1857.0,1927.0,Male,1913,Photography
70,British,Scroll Down and Keep Scrolling,Fiona Banner,1966.0,,Female,2015,Prints & Illustrated Books
71,American,"""Untitled""",Felix Gonzalez-Torres,1957.0,1996.0,Male,1987,Painting & Sculpture
72,French,Plate (page 89) from L'ÉVANGILE,Léo Marchutz,1903.0,1976.0,Male,1948,Prints & Illustrated Books
73,American,Pleasures and Terrors of Levitation 50,Aaron Siskind,1903.0,1991.0,Male,1965,Photography
74,British,Tailpiece (page 44) from FABLES,Thomas Bewick,1753.0,1828.0,Male,1818,Prints & Illustrated Books
75,German,"KOTSCHEI (plate, folio 7) from DEM FEUERVOGEL",Helmut A. P. Grieshaber,1909.0,1981.0,Male,1961,Prints & Illustrated Books
76,French,RUES LANNEAU ET DES CARMES,Eugène Atget,1857.0,1927.0,Male,1925,Photography
77,French,Plate (page 160) from RÉINCARNATIONS DU PÈRE UBU,Georges Rouault,1871.0,1958.0,Male,1924,Prints & Illustrated Books
78,Australian,"Landscape Triptych No. 1, State IV/IV",Fred Williams,1927.0,1982.0,Male,1962,Prints & Illustrated Books
79,American,"Mr. Bennett, Vermont",Paul Strand,1890.0,1976.0,Male,1944,Photography
80,French,Portrait of Alice (frontispiece) from Alice in Wonderland,Marie Laurencin,1883.0,1956.0,Female,1930,Prints & Illustrated Books
81,Spanish,C.N.T. from the portfolio Color Guard Etcetera,Juan Hidalgo,1927.0,,Male,1991,Prints & Illustrated Books
82,German,"Untitled. (portrait of man with dark glasses, Heino?)",Michael Schmidt,1945.0,2014.0,Male,1992,Photography
83,American,Fortune,Kiki Smith,1954.0,,Female,2008,Prints & Illustrated Books
84,American,"Meeting Street, Charleston, South Carolina, August 3, 1975",Stephen Shore,1947.0,,Male,1975,Photography
85,French,Cover for Old Stories (Les Vieilles Histoires),Henri de Toulouse-Lautrec,1864.0,1901.0,Male,1893,Prints & Illustrated Books
86,American,Untitled,Willem de Kooning,1904.0,1997.0,Male,1966,Drawings
87,American,"Double page plate (folios 14 and 15) from AMISH, Volume II",Stephen White,1948.0,,Male,1968,Prints & Illustrated Books
88,American,Are You Rea #17,Robert Heinecken,1931.0,2006.0,Male,1966,Photography
89,French,Headpiece (page 93) from PASSION,Georges Rouault,1871.0,1958.0,Male,1934,Prints & Illustrated Books
90,Italian,Bar Tools,Studio Opi,1955.0,,Gender Unknown,1969,Architecture & Design
91,American,Multi-use Rocker Prototype,Frederick Kiesler,1890.0,1965.0,Male,1942,Architecture & Design
92,American,Cascade Mountains,Lee Friedlander,1934.0,,Male,1980,Photography
93,American,Japanese House in the Garden of the Museum of Modern Art,Ezra Stoller,1915.0,2004.0,Male,1955,Architecture & Design
94,American,"Neue Wache War Memorial Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,1886.0,1969.0,Male,1930,Architecture & Design
95,American,[History of Art Chart],George Maciunas,1931.0,1978.0,Male,1958,Prints & Illustrated Books
96,French,Bagatelle,Eugène Atget,1857.0,1927.0,Male,1922,Photography
97,American,MR1002 Flower stand (Plan and detail sections),Ludwig Mies van der Rohe,1886.0,1969.0,Male,1934,Architecture & Design
98,French,FONTAINEBLEAU. COUR CHEVAL BLANC,Eugène Atget,1857.0,1927.0,Male,1903,Photography
99,American,The Toe Tactic,Emily Hubley,1958.0,,Female,2008,Film
100,American,"Paper Piece, Festival of Misfits, ICA, London, October 23- November 8, 1962",Benjamin Patterson,1934.0,2016.0,Male,1962,Prints & Illustrated Books
101,American,"Taliesin Fellowship Complex, Midway Farm, Spring Green, WI (Plan and elevation of tower and weather vane)",Frank Lloyd Wright,1867.0,1959.0,Male,1944,Architecture & Design
102,American,The Navy Needs You! Don't Read American History - Make It! U.S. Navy Recruiting Station,James Montgomery Flagg,1877.0,1960.0,Male,1916,Architecture & Design
103,American,Untitled,Carey Maxon,1978.0,,Female,2003,Drawings
104,American,Untitled from Program,Jorge Pardo,1963.0,,Male,2012,Prints & Illustrated Books
105,Italian,Plate (folio 8) from LE STANZE OSCURE,Cesare Peverelli,1922.0,2000.0,Male,1965,Prints & Illustrated Books
106,Canadian,Photographic Views and Studies of Canadian Scenery,Alexander Henderson,1831.0,1913.0,Male,1865,Photography
107,American,"Georgetown County Court House, Georgetown, South Carolina, February 20, 1976",Stephen Shore,1947.0,,Male,1976,Photography
108,French,"Meudon, ancien château",Eugène Atget,1857.0,1927.0,Male,1902,Photography
109,,Bright Leaves,Ross McElwee,,,Male,2003,Film
110,Chilean,A Mounatin Called Desire (Una Montaña llamada deseo),Sandra Vásquez de la Horra,1967.0,,Female,2010,Drawings
111,Spanish,Plate XLVII from the Barcelona Series,Joan Miró,1893.0,1983.0,Male,1944,Prints & Illustrated Books
112,American,Canto VI from 18 Cantos,Barnett Newman,1905.0,1970.0,Male,1963,Prints & Illustrated Books
113,American,Chagres River from the Fort,Eadweard J. Muybridge,1830.0,1904.0,Male,1875,Photography
114,American,"Men of Air, New York",Robert Frank,1924.0,,Male,1948,Photography
115,American,William Eggleston and Friend,Lee Friedlander,1934.0,,Male,1990,Photography
116,French,Seated Nude,Fernand Léger,1881.0,1955.0,Male,1913,Drawings
117,American,"Extraordinary Contorted ""Marble Cake"" Moraine of Susitna Glacier, Central Alaska",Bradford Washburn,1910.0,2007.0,Male,1958,Photography
118,American,"Friedrichstrasse Skyscraper Project, Berlin-Mitte, Germany (Floor plan)",Ludwig Mies van der Rohe,1886.0,1969.0,Male,1921,Architecture & Design
119,American,Ouray from Copper Series,Frank Stella,1936.0,,Male,1970,Prints & Illustrated Books
120,French,Bodies of Women (Corps de dames),Jean Dubuffet,1901.0,1985.0,Male,1950,Prints & Illustrated Books
121,American,Ear,Louise Bourgeois,1911.0,2010.0,Female,2004,Prints & Illustrated Books
122,American,Pablo Picasso,Man Ray (Emmanuel Radnitzky),1890.0,1976.0,Male,1926,Photography
123,American,Plate (folio 43) from ADVENTURES IN KU-TA-BA WA-DO,Gerald Jackson,1943.0,,Male,1973,Prints & Illustrated Books
124,American,RETURN FROM TOIL,John Sloan,1871.0,1951.0,Male,1915,Prints & Illustrated Books
125,American,Ears,Louise Bourgeois,1911.0,2010.0,Female,2003,Prints & Illustrated Books
126,Colombian,Blue Jean from AGPA 73: Pan American Graphic Arts (AGPA 73: Artes gráficas panamericanas),Miguel Angel Rojas,1946.0,,Male,1973,Prints & Illustrated Books
127,American,J.A.B. AND HIS UMBRELLA,Stephen Scheer,1954.0,,Male,1986,Photography
128,Swiss,Tube,Roman Signer,1938.0,,Male,1982,Media and Performance Art
129,Czech,In-text plate (page 78) from LYSISTRATA,František Kupka,1871.0,1957.0,Male,1910,Prints & Illustrated Books
130,German,"German People - German Work Exhibit, Berlin, Germany, Installation of the vitrine for crystal glass. Elevation, plan, and sections.",Lilly Reich,1885.0,1947.0,Female,1934,Architecture & Design
131,Australian,Plate (page 44) from PARADISE GARDEN,Sidney Nolan,1917.0,1992.0,Male,1971,Prints & Illustrated Books
132,American,"SALUTATIONS, SENOR!","George Overbury (""Pop"") Hart",1868.0,1933.0,Male,1926,Prints & Illustrated Books
133,Spanish,NUMBER 12,Antoni Tàpies,1923.0,2012.0,Male,1960,Prints & Illustrated Books
134,Mexican,"50,000 Meals Served (50,000 Cubiertos)",José Chávez Morado,1909.0,2002.0,Male,1939,Prints & Illustrated Books
135,French,In-text plate (page 68) from LE VOYAGE D'URIEN,Maurice Denis,1870.0,1943.0,Male,1893,Prints & Illustrated Books
136,American,Kaleidoscope #2 (Furnishing fabric),Herbert Bayer,1900.0,1985.0,Male,1952,Architecture & Design
137,,Nations,Slavs and Tatars,2005.0,,Gender Unknown,2007,Prints & Illustrated Books
138,French,"THE WINE PRESS IN OPEN AIR (plate; volume I, page 147) from LES GÉORGIQUES (GEORGICA)",André Dunoyer de Segonzac,1884.0,1974.0,Male,1940,Prints & Illustrated Books
139,American,"The Brown Sisters, Marblehead, Massachusetts",Nicholas Nixon,1947.0,,Male,1995,Photography
140,British,Linear Still Life,William Scott,1913.0,1989.0,Male,1973,Drawings
141,Brazilian,Blind Man and His Son (Homem cego e seu filho),Candido Portinari,1903.0,1962.0,Male,1939,Prints & Illustrated Books
142,German,"Street, Berlin",Ernst Ludwig Kirchner,1880.0,1938.0,Male,1913,Painting & Sculpture
143,American,The Song of the Shirt,David Wark Griffith,1874.0,1948.0,Male,1908,Film
144,Dutch,Architecture Panoramas,Jan Dibbets,1941.0,,Male,1971,Photography
145,Polish,Kazimierz Malewicz 1876-1935,Wladyslaw Strzemiński,1893.0,1952.0,Male,1936,Prints & Illustrated Books
146,German,"Ausstellung Galerie St. Stephen Wien, Images Meditatives",Winfred Gaul,1928.0,2003.0,Male,1960,Architecture & Design
147,American,Hospital Event Label,George Maciunas,1931.0,1978.0,Male,1975,Prints & Illustrated Books
148,American,"Washington, D.C.",Lee Friedlander,1934.0,,Male,1976,Photography
149,Romanian,Deeparture,Mircea Cantor,1977.0,,Male,2005,Media and Performance Art
150,Czech,Programy skolskeho rozhlasu,Augustin Tschinkel,1905.0,,Male,1933,Architecture & Design
151,French,Plate (folio 19) from KAFKA,Roger Chancel,1898.0,1976.0,Male,1957,Prints & Illustrated Books
152,American,Lassaw at Kootz Gallery,Elaine Lustig Cohen,1927.0,2016.0,Female,1960,Architecture & Design
153,American,"Untitled, from Eurana Park, Weatherly, Pennsylvania",Judith Joy Ross,1946.0,,Female,1982,Photography
154,American,"View from Hotel Window--Butte, Montana",Robert Frank,1924.0,,Male,1956,Photography
155,American,"CUPID SHOOTS THE WOMAN FROM HAMBURG IN THE STOMACH (in-text plate, page 20) from AUS DEN MEMOIREN DES HERRN VON SCHNABELEWOPSKY",Jules Pascin,1885.0,1930.0,Male,1910,Prints & Illustrated Books
156,American,UNTITLED (SQUARE YELLOW SPIRAL),Paul Thek,1933.0,1988.0,Male,1983,Drawings
157,American,In-text plate (folio 5) from THE DONKEY AND THE DARLING,Larry Rivers,1923.0,2002.0,Male,1972,Prints & Illustrated Books
158,French,So What!,Christian Fossier,1943.0,2013.0,Male,1969,Prints & Illustrated Books
159,French,"Plate 8 (in-text plate, folio 18) from UN SOUPÇON",Michel Guino,1926.0,2013.0,Male,1965,Prints & Illustrated Books
160,American,Trinket,Arthur B. Davies,1862.0,1928.0,Male,1920,Prints & Illustrated Books
161,French,"SOBAKÉVITCH AT THE TABLE, plate XXXVI (facing page 130) from LES ÂMES MORTES",Marc Chagall,1887.0,1985.0,Male,1936,Prints & Illustrated Books
162,Italian,Untitled (white lines),Lauretta Vinciarelli,1943.0,2012.0,Female,1973,Architecture & Design
163,French,"GALATEA PLAYING IN WATER (in-text plate, page 68) from LES ÉGLOGUES",Aristide Maillol,1861.0,1944.0,Male,1919,Prints & Illustrated Books
164,American,Mrs. Beatrice Baxter Ruyl and Infant,Gertrude Käsebier,1852.0,1934.0,Female,1905,Photography
165,French,"Plate (folio 12, duplicate of folio 10 woodcut) from Vingt-cinq poèmes",Jean (Hans) Arp,1886.0,1966.0,Male,1918,Prints & Illustrated Books
166,American,Topiary,Louise Bourgeois,1911.0,2010.0,Female,1997,Drawings
167,American,"Ruins of the Church of Las Monjas, Old Panama",Eadweard J. Muybridge,1830.0,1904.0,Male,1875,Photography
168,French,FONTAINE MOLIÈRE. RUE RICHELIEU. PAR VISCONTI ET PRADIER,Eugène Atget,1857.0,1927.0,Male,1907,Photography
169,American,Reclining Chair without Arms (Perspective sketch),Ludwig Mies van der Rohe,1886.0,1969.0,Male,1936,Architecture & Design
170,American,Ileana from Ruminations,Robert Rauschenberg,1925.0,2008.0,Male,1999,Prints & Illustrated Books
171,American,Luz Seated (to the right),Jean Charlot,1898.0,1979.0,Male,1929,Prints & Illustrated Books
172,American,"Untitled, from the series Come Sunday",Thomas Roma,1950.0,,Male,1992,Photography
173,American,"Black Panther children in a classroom at the Intercommunal Youth Institute, the Black Panther school, Oakland, California",Stephen Shames,1947.0,,Male,1971,Photography
174,British,Wear Your Goggles,Pat Keely,,,Male,1942,Architecture & Design
175,French,Ballet poster,André Masson,1896.0,1987.0,Male,1933,Architecture & Design
176,American,Fingerprint,Robert Watts,1923.0,1988.0,Male,1965,Prints & Illustrated Books
177,Spanish,El Frente Popular de Madrid Al Frente Popular del Mundo - Homenaje a Las Brigadas Internacionales,J. Briones,,,Gender Unknown,1936,Architecture & Design
178,German,Untitled from Woodcuts,Thomas Schütte,1954.0,,Male,2011,Prints & Illustrated Books
179,French,"PSALM 122, plate 27 (page 61) from PSAUMES DE DAVID",Marc Chagall,1887.0,1985.0,Male,1978,Prints & Illustrated Books
180,American,New York I,Aaron Siskind,1903.0,1991.0,Male,1951,Photography
181,American,"Weissenhof Housing Colony Master Plan, ""The Dwelling,"" Stuttgart, Germany, Site elevation study from east",Ludwig Mies van der Rohe,1886.0,1969.0,Male,1926,Architecture & Design
182,American,Ode à l'Oubli,Louise Bourgeois,1911.0,2010.0,Female,2004,Prints & Illustrated Books
183,American,Two Figures,Max Weber,1881.0,1961.0,Male,1920,Prints & Illustrated Books
184,American,Instruction No. 2 from Fluxkit,Benjamin Patterson,1934.0,2016.0,Male,1966,Prints & Illustrated Books
185,,Untitled,Unknown,,,Gender Unknown,1937,Photography
186,American,In-text plate (folio 8) from The Adventures of a Novel in Four Chapters,Bruce Conner,1933.0,2008.0,Male,1991,Prints & Illustrated Books
187,French,Headpiece (page 17) from RÉINCARNATIONS DU PÈRE UBU,Georges Rouault,1871.0,1958.0,Male,1924,Prints & Illustrated Books
188,American,"Cloud Rock (plate, page 78) from 1¢ Life",Sam Francis,1923.0,1994.0,Male,1964,Prints & Illustrated Books
189,Venezuelan,Untitled from an untitled portfolio,Mateo Manaure,1926.0,2018.0,Male,1969,Prints & Illustrated Books
190,Korean,Untitled from Traces of anonymous pupil authors,Haegue Yang,1971.0,,Female,2001,Prints & Illustrated Books
191,French,Tailpiece (page 81) from ODES,André Derain,1880.0,1954.0,Male,1953,Prints & Illustrated Books
192,American,Salt Lake City,Lee Friedlander,1934.0,,Male,1965,Photography
193,French,Château de Bagatelle,Eugène Atget,1857.0,1927.0,Male,1913,Photography
194,French,Tailpiece (page 171) from L'ODYSSÉE,Émile Bernard,1868.0,1941.0,Male,1930,Prints & Illustrated Books
195,British,The Orchestra,Walter Richard Sickert,1860.0,1942.0,Male,1905,Prints & Illustrated Books
196,American,"Untitled, no. 1 of 12, from the illustrated book, To Whom It May Concern",Louise Bourgeois,1911.0,2010.0,Female,2010,Prints & Illustrated Books
197,Israeli,Untitled from Farewell,Moshe Gershuni,1936.0,2017.0,Male,1992,Prints & Illustrated Books
198,American,"Midway Gardens, Chicago, IL",Frank Lloyd Wright,1867.0,1959.0,Male,1913,Architecture & Design
199,French,"DEATH OF MOSES, plate 41 (volume, folio 90) from the BIBLE",Marc Chagall,1887.0,1985.0,Male,1944,Prints & Illustrated Books
200,American,She-Paul-A-Wee,William Henry Jackson,1843.0,1942.0,Male,1875,Photography
201,Swiss,Volcano,Roman Signer,1938.0,,Male,1989,Media and Performance Art
202,American,Palmolive,George Brecht,1926.0,2008.0,Male,1962,Prints & Illustrated Books
203,American,Untitled from Andy Warhol Doesn't Play Second Base for the Chicago Cubs,Kelley Walker,1969.0,,Male,2010,Prints & Illustrated Books
204,American,Portrait of Mies from Fluxus 1,George Maciunas,1931.0,1978.0,Male,1964,Prints & Illustrated Books
205,American,Great Builders II,Jean Charlot,1898.0,1979.0,Male,1927,Prints & Illustrated Books
206,American,Motherfucker from The Bad Habits,Lisa Yuskavage,1962.0,,Female,1997,Prints & Illustrated Books
207,American,"Entrance to Rockcut Dwelling, Bandelier National Monument",William R. Current,1923.0,,Male,1962,Photography
208,American,Three Kids and a Sled,Philip Fein,1912.0,1994.0,Male,1940,Photography
209,American,Study of Kuang Kung,Seong Moy,1921.0,2013.0,Male,1952,Prints & Illustrated Books
210,American,Abacus (Furnishing fabric),Paul Rand,1914.0,1996.0,Male,1946,Architecture & Design
211,American,Venezuela,Dorothea Lange,1895.0,1965.0,Female,1960,Photography
212,French,"Ancien Couvent des Bénédictins anglais, 269 bis rue Saint-Jacques",Eugène Atget,1857.0,1927.0,Male,1900,Photography
213,American,Sky Backdrop,Alex Israel,1982.0,,Male,2013,Painting & Sculpture
214,Russian,Union der Sozialistischen Sowjet-Republiken: Pressa Köln (Union of Socialist Soviet Republics),El Lissitzky,1890.0,1941.0,Male,1928,Prints & Illustrated Books
215,American,New York City,Lee Friedlander,1934.0,,Male,1978,Photography
216,American,Progressive IV for VENTRILOQUIST,Jasper Johns,1930.0,,Male,1986,Prints & Illustrated Books
217,French,Untitled,Eugène Atget,1857.0,1927.0,Male,1900,Photography
218,French,Plate (facing page 118) from SAINTE MONIQUE,Pierre Bonnard,1867.0,1947.0,Male,1925,Prints & Illustrated Books
219,American,Museum,Peter Blume,1906.0,1992.0,Male,1932,Drawings
220,American,Folio,Terry Winters,1949.0,,Male,1986,Prints & Illustrated Books
221,Argentine,Duino,César Paternosto,1931.0,,Male,1966,Painting & Sculpture
222,American,Unmade Bed,Joe Goode,1937.0,,Male,1968,Painting & Sculpture
223,American,#2 from an untitled series,Larry Bell,1939.0,,Male,1974,Prints & Illustrated Books
224,American,Untitled from Notes on a Room,Richard Artschwager,1923.0,2013.0,Male,1998,Prints & Illustrated Books
225,American,Untitled,Dan McCarthy,1962.0,,Male,2000,Drawings
226,American,Untitled,Wade Guyton,1972.0,,Male,2006,Painting & Sculpture
227,Indian,"French Embassy Staff Quarters, New Delhi, India",Raj Rewal,1934.0,,Male,1967,Architecture & Design
228,German,Plate (folio 9) from HIOB,Hella Fischer-Thorer,1928.0,1978.0,Female,1965,Prints & Illustrated Books
229,,Z. I. Gorbovets. Graviury na dereve,Zinovii Gorbovets,,,Gender Unknown,1927,Prints & Illustrated Books
230,British,Lapeyrouse Wall,Peter Doig,1959.0,,Male,2004,Painting & Sculpture
231,Chilean,The Language of Fashion (El lenguaje de la moda),Juan Luis Martinez,1942.0,1993.0,Male,1979,Drawings
232,Italian,Adam,Amedeo Modigliani,1884.0,1920.0,Male,1916,Drawings
233,Spanish,Untitled from Pisueña,Juan Uslé,1954.0,,Male,2009,Prints & Illustrated Books
234,American,Roberta's Excorcism Flower Arrangements,Lynn Hershman Leeson,1941.0,,Female,1978,Photography
235,Swiss,(Number 1 of a newspaper campaign),Karl Gerstner,1930.0,,Male,1964,Architecture & Design
236,American,Untitled,Nathan Lyons,1930.0,2016.0,Male,1958,Photography
237,French,Femme de Verrières,Eugène Atget,1857.0,1927.0,Male,1900,Photography
238,Nationality unknown,Public Sculptures in Public Places,Bob Cato,1923.0,,Male,1967,Architecture & Design
239,Spanish,Double page plate (pages 20 and 21) from TAGEBÜCHER,Antonio Saura,1930.0,1998.0,Male,1988,Prints & Illustrated Books
240,French,Plate (page 215) from LES PETITES FLEURS,Émile Bernard,1868.0,1941.0,Male,1928,Prints & Illustrated Books
241,American,Untitled from the series 'Ten Thousand Things That Breathe',Renato Orara,1961.0,,Male,2003,Drawings
242,American,Jardin de Luxembourg,Pavel Tchelitchew,1898.0,1957.0,Male,1924,Drawings
243,Japanese,Vocal Group Niji,Tadanori Yokoo,1936.0,,Male,1964,Architecture & Design
244,,Untitled,Unknown,,,Gender Unknown,1900,Photography
245,British,Sex Pistols Flyer,Jamie Reid,1947.0,,Male,1975,Architecture & Design
246,German,Milk Stone,Wolfgang Laib,1950.0,,Male,1978,Painting & Sculpture
247,Belgian,"ECCE HOMO, plate XVIII (folio 21) from SCÈNES DE LA VIE DU CHRIST",James Ensor,1860.0,1949.0,Male,1917,Prints & Illustrated Books
248,British,(Portrait),Alfred Capel Cure,1826.0,1896.0,Male,1861,Photography
249,American,Upholstery Material,Anni Albers,1899.0,1994.0,Female,1929,Architecture & Design
