,Nationality,Title,Artist,BeginDate,EndDate,Gender,Date,Department
3051,Nigerian,Brush Eko Bridge,J.D. 'Okhai Ojeikere,1930.0,2014.0,Male,1973,Photography
3052,Russian,"Neizdannyi Khlebnikov, no. 13",Kirill Zdanevich,1892.0,1969.0,Male,1929,Prints & Illustrated Books
3053,Venezuelan,Caracas,Alfredo Cortina,1903.0,1988.0,Male,1965,Photography
3054,French,Plate (folio 13) from AUTOBIO,Jean Lurçat,1892.0,1966.0,Male,1949,Prints & Illustrated Books
3055,American,Untitled,Yves Tanguy,1900.0,1955.0,Male,1926,Drawings
3056,American,"Terrain, project",Lebbeus Woods,1940.0,2012.0,Male,1999,Architecture & Design
3057,American,Mint,Robert Rauschenberg,1925.0,2008.0,Male,1974,Painting & Sculpture
3058,Colombian,Untitled #213,José Antonio Suárez Londoño,1955.0,,Male,2004,Prints & Illustrated Books
3059,American,"Aftermath of Bomb in Hope Court, Belfast from the series The Troubles",Les Levine,1935.0,,Male,1977,Prints & Illustrated Books
3060,Canadian,Hustler White,Bruce La Bruce,1964.0,,Male,1996,Film
3061,French,"Vignette next to ""Hills"" (Vignette bei ""Hügel"") (headpiece, folio 5) from Klänge (Sounds)",Vasily Kandinsky,1866.0,1944.0,Male,1913,Prints & Illustrated Books
3062,French,Tailpiece (page 72) from LE VOYAGE D'URIEN,Maurice Denis,1870.0,1943.0,Male,1893,Prints & Illustrated Books
3063,French,FONTAINEBLEAU. COUR OVALE,Eugène Atget,1857.0,1927.0,Male,1903,Photography
3064,American,"Frank Stella, ""Sabra III,"" 1967",Richard Pettibone,1938.0,,Male,1968,Painting & Sculpture
3065,American,Ale Cans,Jasper Johns,1930.0,,Male,1975,Prints & Illustrated Books
3066,American,"Aline Barnsdall Kindergarten, Los Angeles, CA",Frank Lloyd Wright,1867.0,1959.0,Male,1921,Architecture & Design
3067,American,"Sparky and Cowboy, Schererville, Indiana",Danny Lyon,1942.0,,Male,1966,Photography
3068,French,FONTAINE LAUSANNE. (SUISSE),Eugène Atget,1857.0,1927.0,Male,1900,Photography
3069,Russian,Mat' (Mother),Vsevolod Pudovkin,1893.0,1953.0,Male,1926,Film
3070,American,"Untitled, plate 2 of 15, from the series, Nature Study",Louise Bourgeois,1911.0,2010.0,Female,2009,Prints & Illustrated Books
3071,American,Maquette for Rām gangra,Frank Stella,1936.0,,Male,1977,Painting & Sculpture
3072,American,TB,Greg Goldberg,1973.0,,Male,2001,Drawings
3073,American,Costume design for the opera Satyagraha: Policeman,Robert Israel,1939.0,,Male,1982,Drawings
3074,British,Untitled from Black Dahlias,Paul Morrison,1966.0,,Male,2002,Prints & Illustrated Books
3075,Japanese,Untitled (Tecopa G),Noriko Furunishi,1966.0,,Female,2005,Photography
3076,South African,Psychoanalysed,Norman Catherine,1949.0,,Male,1988,Prints & Illustrated Books
3077,French,Plate (page 26) from PARALLÈLEMENT,Pierre Bonnard,1867.0,1947.0,Male,1900,Prints & Illustrated Books
3078,Cuban,La América del Che,Alberto Carol,,,Male,1972,Architecture & Design
3079,American,"Sign in Wholesale Grocery Store, San Angelo, Texas",Russell Lee,1903.0,1986.0,Male,1939,Photography
3080,Japanese,I Got Up...,On Kawara,1933.0,,Male,1977,Painting & Sculpture
3081,American,Stream through the Meadow,Orrin Wightman,1873.0,1965.0,Male,1935,Photography
3082,American,"Untitled, from Easton Portraits",Judith Joy Ross,1946.0,,Female,1988,Photography
3083,American,William Eggleston in the Real World,Michael Almereyda,1959.0,,Male,2005,Film
